rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
3960,Kepler-427,b,0,1,1,10.290994,0.091,13.79,92.17,288.2545808,43.7048379,1017.8,1100.0,0.29,0.16,0.4,7.0,5800.0,10.13386309103794
413,HATS-25,b,0,1,1,4.2986432,0.05163,14.123,194.82979,207.9076746,-23.7812403,471.158,1277.0,0.068,0.38,1.03,7.5,5715.0,10.88776688313296
5271,TOI-2796,b,0,1,1,4.8084983,0.0569,17.262,139.8445,84.1527191,0.8962788,350.343,1205.0,0.055,0.15,1.22,4.0,5764.0,11.0550969203088
383,HAT-P-59,b,0,1,1,4.1419771,0.05064,12.588,489.45575,292.4588212,62.5291892,265.471,1278.0,0.054,1.347,1.059,7.3,5678.0,11.151724480903347
456,HATS-63,b,0,1,1,3.0566527,0.04026,13.529,305.1168,67.418582,-28.1972149,623.232,1398.0,0.012,0.67,1.071,10.3,5627.0,11.663318873377085
423,HATS-34,b,0,1,1,2.1061607,0.03166,16.029,299.07803,0.7744866,-62.4693167,508.842,1445.0,-0.14,0.4,1.44,7.7,5380.0,11.774752541132536
422,HATS-33,b,0,1,1,2.5495551,0.03727,13.787,378.85336,294.6336944,-55.3302692,248.46,1429.0,-0.018,0.79,1.4,3.0,5659.0,11.958648167903462
379,HAT-P-55,b,0,1,1,3.5852313,0.04628,14.841,189.42573,264.2735096,25.7311468,511.388,1367.0,0.097,0.318,1.073,5.3,5804.0,12.032480837483073
5588,WASP-193,b,0,1,1,6.2463345,0.0676,16.41,44.17815,164.3491401,-29.9971229,362.087,1254.0,0.274,0.059,0.7853,4.4,6078.0,12.084198057632747
5065,TOI-1298,b,0,1,1,4.537143,0.057,9.658,99.0,241.3229012,70.1900397,319.036,1278.0,0.321,0.6,0.5496,4.3,5752.0,12.303883671198736
421,HATS-32,b,0,1,1,2.8126548,0.04024,14.0,292.4036,346.0750861,-21.2720168,745.116,1437.0,0.057,0.58,1.17,3.5,5700.0,12.372387809908616
1298,HIP 65 A,b,0,2,1,0.9809734,0.01782,22.754,1021.18779,0.1856063,-54.8308228,61.7856,1411.0,-0.678,0.48,2.898,4.1,4590.0,12.384529136838497
5305,TOI-3976 A,b,0,2,1,6.607662,0.0743,12.274,55.61997,224.3560083,44.2743223,516.087,1295.0,0.413,0.165,0.521,3.8,5975.0,12.4032784564936
5287,TOI-3331 A,b,0,2,1,2.0180231,0.03144,12.98,721.47048,271.3241672,-34.107171,217.193,1488.0,-0.093,1.82,1.65,2.1,5609.0,12.411526574331718
5254,TOI-2567,b,0,1,1,5.983944,0.0672,10.929,63.88351,288.4656683,66.3479375,504.775,1352.0,0.405,0.269,0.34,7.6,5611.0,12.701007994048425
5273,TOI-2818,b,0,1,1,4.039709,0.0493,15.278,225.65817,119.0598183,-35.1167104,312.674,1376.0,0.164,0.34,0.745,9.5,5721.0,12.830334269593196
5312,TOI-4087,b,0,1,1,3.1774835,0.04469,13.047,232.01474,217.9257785,83.3727061,301.676,1458.0,0.176,0.57,1.205,0.8,6060.0,13.076936610664696
5389,TOI-5542,b,0,1,1,75.12375,0.332,11.31,419.5335,302.7984228,-61.1354659,348.849,441.0,1.057,1.6,1.03,10.8,5700.0,13.293118271447597
5391,TOI-559,b,0,1,1,6.9839095,0.0723,12.229,1910.14873,46.8186159,-31.1629951,233.266,1180.0,0.227,5.74,0.774,6.8,5925.0,13.32626243444403
1223,HD 93963 A,b,0,2,2,1.0376109,0.02061,1.47,2.8,162.7766969,25.641065,82.3432,1842.0,0.068,4.81,1.3835,1.3,5908.0,13.33532495606604
5088,TOI-1444,b,0,1,1,0.4702743,0.0116,1.418,3.58,305.4749252,70.9437054,125.463,2130.0,-0.176,6.84,1.7621,3.8,5460.0,13.548782541168697
5653,WASP-77 A,b,0,2,1,1.36002854,0.02335,13.787,529.81995,37.1555223,-7.0606675,105.166,1715.0,-0.129,1.115,1.692,6.2,5617.0,13.604000516336535
454,HATS-61,b,0,1,1,7.817953,0.07908,13.395,1080.622,61.6578005,-25.3496674,679.761,1226.0,0.369,2.47,0.33,8.9,5542.0,13.909033944453824
5639,WASP-64,b,0,2,1,1.5732918,0.02648,14.247,403.945,101.1149223,-32.8583878,369.926,1689.0,-0.022,0.823,1.196,1.2,5400.0,14.356586904600434
5396,TOI-564,b,0,1,1,1.651144,0.02734,11.433,464.98529,130.2951535,-16.0363275,199.581,1714.0,0.033,1.7,1.095,7.3,5640.0,14.546966244040084
5124,TOI-172,b,0,1,1,9.47725,0.0914,10.817,1722.6386,316.6318791,-26.6928654,342.831,1198.0,0.461,7.53,0.286,7.4,5645.0,14.707683187238525
5263,TOI-2641,b,0,1,1,4.880974,0.0607,18.103,122.68177,171.1303716,-42.7321394,344.045,1387.0,0.34,0.092,0.482,10.8,6100.0,14.76773585100734
453,HATS-60,b,0,1,1,3.560829,0.04708,12.924,210.40346,341.3640336,-14.9917747,486.474,1528.0,0.3,0.537,0.496,7.55,5688.0,14.9011727016575
5258,TOI-2587 A,b,0,2,1,5.45664,0.0635,12.072,69.28659,115.9317105,-1.073333,373.675,1445.0,0.471,0.216,0.316,6.7,5760.0,14.989178095267045
5448,TOI-858 B,b,0,2,1,3.2797178,0.04435,14.067,349.61125,60.1998256,-54.5929177,250.489,1529.0,0.253,0.69,0.68,6.8,5842.0,15.160556819503958
5238,TOI-2421,b,0,1,1,4.3474032,0.0543,10.368,105.83686,33.1540208,-35.3909182,327.927,1534.0,0.436,0.52,0.297,7.5,5607.0,15.489181993989575
5357,TOI-4791,b,0,1,1,4.28088,0.0555,12.442,734.18362,109.3883818,-19.8289392,328.802,1472.0,0.38,2.09,0.624,3.3,6058.0,16.13759746567587
442,HATS-51,b,0,1,1,3.3488702,0.04639,15.805,244.09344,102.8474248,-29.0586551,389.57,1553.0,0.31,0.34,0.56,4.74,5758.0,16.182863430997095
5064,TOI-1296,b,0,1,1,3.9443736,0.051,14.116,95.3,256.7706392,70.2384806,323.265,1415.0,0.402,0.19,0.3279,7.1,5567.0,16.37030344776639
5116,TOI-169,b,0,1,1,2.2554477,0.03524,12.173,251.40353,16.7786879,-75.1989452,407.84,1715.0,0.253,0.76,0.756,4.7,5880.0,16.660829314277308
1841,KELT-24,b,0,2,1,5.55149296,0.0665,12.711,1458.83239,161.9090273,71.655727,96.5173,1391.0,0.439,3.9,0.744,1.98,6426.0,16.820953803435433
5570,WASP-174,b,0,1,1,4.2337005,0.05503,16.107,104.88337,195.7940145,-41.3848617,410.149,1528.0,0.436,0.135,0.716,2.2,6399.0,17.04266212434376
5302,TOI-3894,b,0,1,1,4.33454,0.05354,15.278,260.61929,201.3748265,52.7681036,417.365,1531.0,0.419,0.4,0.475,5.7,6000.0,17.165609950852645
5316,TOI-4137,b,0,1,1,3.8016122,0.05222,13.574,457.67291,77.612879,70.391079,334.993,1570.0,0.439,1.01,0.621,2.1,6202.0,17.942767916054684
5300,TOI-3819,b,0,1,1,3.2443141,0.04611,13.137,352.78953,121.8632568,29.3886446,558.141,1633.0,0.4,0.85,0.478,4.5,5859.0,17.994131414890237
377,HAT-P-53,b,0,1,1,1.9616241,0.03159,14.773,471.65972,21.8711012,38.9681137,666.802,1778.0,0.217,0.8,0.87,4.67,5956.0,18.192685918833504
5205,TOI-2154,b,0,1,1,3.8240801,0.0513,16.287,292.40213,71.0281482,84.3642652,296.46,1580.0,0.435,0.37,0.639,2.9,6280.0,18.423718593104805
5279,TOI-3023,b,0,1,1,3.9014971,0.0505,16.432,197.05361,165.3158231,-72.3567044,389.916,1596.0,0.444,0.245,0.346,7.0,5760.0,18.64444296528315
5585,WASP-19,b,0,1,1,0.78883852,0.01652,15.861,366.77398,148.4167672,-45.6591078,268.325,2113.0,-0.043,0.506,1.339,6.4,5616.0,18.85440917859557
